id,AL,AZ,CA,CO,CT,FL,GA,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MO,NJ,NM,NY,NC,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV,WI,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1609655,1.1374604,15.9259227,66.3420299,69.7040558,51.8208968,25.1723213,12.7362389,19.6863061,69.8948939,36.8189359,43.0365162,19.8437536,15.1563406,60.7647994,2.893464,36.6924306,14.5280436,1.1767306,1.1745292,15.9926797,65.2945199,70.1208184,52.7154651,25.001816,12.2264116,20.6291344,69.0986769,36.3941122,41.743953,19.9478202,15.5939081,60.5997237,2.7019906,38.3231913,13.6732144,1.1898582,1.1783067,14.7328805,63.3221328,69.6688834,52.3470394,25.5994378,11.866999,22.1926927,69.4838838,36.001697,41.4588101,19.2648639,14.7755517,60.4311066,2.9246646,39.6901461,13.9998204
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1767306,1.1745292,15.9926797,65.2945199,70.1208184,52.7154651,25.001816,12.2264116,20.6291344,69.0986769,36.3941122,41.743953,19.9478202,15.5939081,60.5997237,2.7019906,38.3231913,13.6732144,1.1898582,1.1783067,14.7328805,63.3221328,69.6688834,52.3470394,25.5994378,11.866999,22.1926927,69.4838838,36.001697,41.4588101,19.2648639,14.7755517,60.4311066,2.9246646,39.6901461,13.9998204,1.2037081,1.2177313,15.2554036,64.5164283,70.8867094,53.3099637,24.6974455,12.0321309,23.4046992,68.7549091,35.1732586,41.360142,18.9181146,14.8304591,60.4038496,2.8504834,39.8117999,13.9998329
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1898582,1.1783067,14.7328805,63.3221328,69.6688834,52.3470394,25.5994378,11.866999,22.1926927,69.4838838,36.001697,41.4588101,19.2648639,14.7755517,60.4311066,2.9246646,39.6901461,13.9998204,1.2037081,1.2177313,15.2554036,64.5164283,70.8867094,53.3099637,24.6974455,12.0321309,23.4046992,68.7549091,35.1732586,41.360142,18.9181146,14.8304591,60.4038496,2.8504834,39.8117999,13.9998329,1.196587,1.2107438,14.4796983,65.2012431,70.2406537,54.2464333,24.4760262,10.9279785,21.6863561,69.536726,35.0822711,45.1262906,18.2025084,13.7975099,59.9417856,3.1947592,39.6815746,11.3846955
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2037081,1.2177313,15.2554036,64.5164283,70.8867094,53.3099637,24.6974455,12.0321309,23.4046992,68.7549091,35.1732586,41.360142,18.9181146,14.8304591,60.4038496,2.8504834,39.8117999,13.9998329,1.196587,1.2107438,14.4796983,65.2012431,70.2406537,54.2464333,24.4760262,10.9279785,21.6863561,69.536726,35.0822711,45.1262906,18.2025084,13.7975099,59.9417856,3.1947592,39.6815746,11.3846955,1.1324215,1.1467812,13.6450733,63.7609181,68.4311374,54.4745729,24.1769976,11.4486788,20.4641212,68.9840446,35.3726739,44.155982,17.8589178,13.5666973,59.8011184,3.4018399,41.0749944,12.9725026
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196587,1.2107438,14.4796983,65.2012431,70.2406537,54.2464333,24.4760262,10.9279785,21.6863561,69.536726,35.0822711,45.1262906,18.2025084,13.7975099,59.9417856,3.1947592,39.6815746,11.3846955,1.1324215,1.1467812,13.6450733,63.7609181,68.4311374,54.4745729,24.1769976,11.4486788,20.4641212,68.9840446,35.3726739,44.155982,17.8589178,13.5666973,59.8011184,3.4018399,41.0749944,12.9725026,1.0931966,1.0586691,13.6501331,64.7986684,68.8881774,54.9334406,24.7775567,11.5355606,19.6066496,68.4297074,35.1114742,44.823841,17.7140859,13.5430975,58.4249565,3.3260501,40.582947,11.4086118
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1324215,1.1467812,13.6450733,63.7609181,68.4311374,54.4745729,24.1769976,11.4486788,20.4641212,68.9840446,35.3726739,44.155982,17.8589178,13.5666973,59.8011184,3.4018399,41.0749944,12.9725026,1.0931966,1.0586691,13.6501331,64.7986684,68.8881774,54.9334406,24.7775567,11.5355606,19.6066496,68.4297074,35.1114742,44.823841,17.7140859,13.5430975,58.4249565,3.3260501,40.582947,11.4086118,1.2808303,1.2709033,13.4929577,63.3982654,68.6663405,55.4662286,25.6143802,12.0373736,18.8317797,68.4342022,35.429848,45.432977,17.5958364,13.3494494,58.0095422,3.3441574,39.9657088,11.4085632
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931966,1.0586691,13.6501331,64.7986684,68.8881774,54.9334406,24.7775567,11.5355606,19.6066496,68.4297074,35.1114742,44.823841,17.7140859,13.5430975,58.4249565,3.3260501,40.582947,11.4086118,1.2808303,1.2709033,13.4929577,63.3982654,68.6663405,55.4662286,25.6143802,12.0373736,18.8317797,68.4342022,35.429848,45.432977,17.5958364,13.3494494,58.0095422,3.3441574,39.9657088,11.4085632,1.2055382,1.1829166,13.113484,64.1660898,67.9838092,55.9533842,26.3573091,12.9153491,19.4313762,69.2297865,36.6427299,46.087425,17.1593762,12.7016078,57.9868566,3.6658707,39.4788336,11.4493643
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2808303,1.2709033,13.4929577,63.3982654,68.6663405,55.4662286,25.6143802,12.0373736,18.8317797,68.4342022,35.429848,45.432977,17.5958364,13.3494494,58.0095422,3.3441574,39.9657088,11.4085632,1.2055382,1.1829166,13.113484,64.1660898,67.9838092,55.9533842,26.3573091,12.9153491,19.4313762,69.2297865,36.6427299,46.087425,17.1593762,12.7016078,57.9868566,3.6658707,39.4788336,11.4493643,1.1611433,1.115145,13.0275492,65.6715243,69.8366692,56.0660519,26.2111749,13.8202138,18.0295029,67.7690337,37.5409313,45.3429473,17.1187306,12.7932883,58.4720474,3.5884483,38.4648488,9.4312711
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2055382,1.1829166,13.113484,64.1660898,67.9838092,55.9533842,26.3573091,12.9153491,19.4313762,69.2297865,36.6427299,46.087425,17.1593762,12.7016078,57.9868566,3.6658707,39.4788336,11.4493643,1.1611433,1.115145,13.0275492,65.6715243,69.8366692,56.0660519,26.2111749,13.8202138,18.0295029,67.7690337,37.5409313,45.3429473,17.1187306,12.7932883,58.4720474,3.5884483,38.4648488,9.4312711,1.1677649,1.143915,12.8030019,64.9540455,69.2803568,55.847542,27.5043222,12.919286,17.4938784,68.3047334,38.5550163,45.1295392,17.7456989,13.1228606,58.3371333,4.013552,38.8880599,9.3374655
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1611433,1.115145,13.0275492,65.6715243,69.8366692,56.0660519,26.2111749,13.8202138,18.0295029,67.7690337,37.5409313,45.3429473,17.1187306,12.7932883,58.4720474,3.5884483,38.4648488,9.4312711,1.1677649,1.143915,12.8030019,64.9540455,69.2803568,55.847542,27.5043222,12.919286,17.4938784,68.3047334,38.5550163,45.1295392,17.7456989,13.1228606,58.3371333,4.013552,38.8880599,9.3374655,1.2038547,1.1809152,13.7340436,64.5663022,69.2311061,54.5887589,29.1981176,14.5103644,18.6629182,69.2799257,40.5941193,41.3698228,17.9282852,13.1802152,56.889853,3.63949,39.4399926,11.1795299
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1677649,1.143915,12.8030019,64.9540455,69.2803568,55.847542,27.5043222,12.919286,17.4938784,68.3047334,38.5550163,45.1295392,17.7456989,13.1228606,58.3371333,4.013552,38.8880599,9.3374655,1.2038547,1.1809152,13.7340436,64.5663022,69.2311061,54.5887589,29.1981176,14.5103644,18.6629182,69.2799257,40.5941193,41.3698228,17.9282852,13.1802152,56.889853,3.63949,39.4399926,11.1795299,1.2900263,1.2674192,13.5531772,64.313545,68.734751,53.877929,29.0768957,13.983178,18.6296166,69.2159128,39.88038,41.3170268,17.8472623,12.9153375,56.654496,3.7338591,38.899606,10.2006547
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2038547,1.1809152,13.7340436,64.5663022,69.2311061,54.5887589,29.1981176,14.5103644,18.6629182,69.2799257,40.5941193,41.3698228,17.9282852,13.1802152,56.889853,3.63949,39.4399926,11.1795299,1.2900263,1.2674192,13.5531772,64.313545,68.734751,53.877929,29.0768957,13.983178,18.6296166,69.2159128,39.88038,41.3170268,17.8472623,12.9153375,56.654496,3.7338591,38.899606,10.2006547,1.2665243,1.2886287,13.3842175,62.7223683,66.9528882,51.5016637,29.3446641,13.0664046,19.5819532,70.6644669,40.4933137,39.9666935,18.0717674,12.928561,57.2309488,3.7009426,38.9471913,10.8176414
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900263,1.2674192,13.5531772,64.313545,68.734751,53.877929,29.0768957,13.983178,18.6296166,69.2159128,39.88038,41.3170268,17.8472623,12.9153375,56.654496,3.7338591,38.899606,10.2006547,1.2665243,1.2886287,13.3842175,62.7223683,66.9528882,51.5016637,29.3446641,13.0664046,19.5819532,70.6644669,40.4933137,39.9666935,18.0717674,12.928561,57.2309488,3.7009426,38.9471913,10.8176414,0.9776017,0.9883224,13.6280241,61.7515561,65.010544,50.4338529,29.6141385,12.3562962,19.4249389,70.4469427,41.2517232,39.3354327,17.7816039,13.1227518,55.8977027,3.3991307,38.8383989,11.3108043
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2665243,1.2886287,13.3842175,62.7223683,66.9528882,51.5016637,29.3446641,13.0664046,19.5819532,70.6644669,40.4933137,39.9666935,18.0717674,12.928561,57.2309488,3.7009426,38.9471913,10.8176414,0.9776017,0.9883224,13.6280241,61.7515561,65.010544,50.4338529,29.6141385,12.3562962,19.4249389,70.4469427,41.2517232,39.3354327,17.7816039,13.1227518,55.8977027,3.3991307,38.8383989,11.3108043,1.1646896,1.1748943,13.4607221,61.4461781,65.0833115,50.0260099,30.4927063,11.5060787,16.9170721,70.525681,40.9414402,38.4568848,18.0001469,12.9451181,55.0023057,3.2440104,38.1442036,12.1526592
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776017,0.9883224,13.6280241,61.7515561,65.010544,50.4338529,29.6141385,12.3562962,19.4249389,70.4469427,41.2517232,39.3354327,17.7816039,13.1227518,55.8977027,3.3991307,38.8383989,11.3108043,1.1646896,1.1748943,13.4607221,61.4461781,65.0833115,50.0260099,30.4927063,11.5060787,16.9170721,70.525681,40.9414402,38.4568848,18.0001469,12.9451181,55.0023057,3.2440104,38.1442036,12.1526592,1.255646,1.2656664,13.2417128,61.1545592,63.6710169,49.9520532,30.317869,10.9162489,17.0260585,71.3746644,40.6474166,39.096291,17.8711509,12.967912,54.9373375,3.3613194,38.081388,12.0557949
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1646896,1.1748943,13.4607221,61.4461781,65.0833115,50.0260099,30.4927063,11.5060787,16.9170721,70.525681,40.9414402,38.4568848,18.0001469,12.9451181,55.0023057,3.2440104,38.1442036,12.1526592,1.255646,1.2656664,13.2417128,61.1545592,63.6710169,49.9520532,30.317869,10.9162489,17.0260585,71.3746644,40.6474166,39.096291,17.8711509,12.967912,54.9373375,3.3613194,38.081388,12.0557949,1.2217924,1.2119953,12.0513359,62.0040467,64.4488805,51.2451406,30.7100546,10.8821303,16.4678436,70.5476668,40.4222324,38.0647808,17.0102154,12.1322282,54.8096299,3.24468,37.2867074,11.9437633
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255646,1.2656664,13.2417128,61.1545592,63.6710169,49.9520532,30.317869,10.9162489,17.0260585,71.3746644,40.6474166,39.096291,17.8711509,12.967912,54.9373375,3.3613194,38.081388,12.0557949,1.2217924,1.2119953,12.0513359,62.0040467,64.4488805,51.2451406,30.7100546,10.8821303,16.4678436,70.5476668,40.4222324,38.0647808,17.0102154,12.1322282,54.8096299,3.24468,37.2867074,11.9437633,1.2452949,1.2158346,11.3537445,59.922108,64.0955444,51.7301397,30.0096133,10.3594204,17.0972905,69.3604334,40.2773229,36.9007934,17.1013199,12.3054062,55.1004235,3.0324002,37.4036666,10.7599808
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2217924,1.2119953,12.0513359,62.0040467,64.4488805,51.2451406,30.7100546,10.8821303,16.4678436,70.5476668,40.4222324,38.0647808,17.0102154,12.1322282,54.8096299,3.24468,37.2867074,11.9437633,1.2452949,1.2158346,11.3537445,59.922108,64.0955444,51.7301397,30.0096133,10.3594204,17.0972905,69.3604334,40.2773229,36.9007934,17.1013199,12.3054062,55.1004235,3.0324002,37.4036666,10.7599808,1.1060022,1.0770435,10.9829731,60.594718,65.3793587,52.0457444,30.1679247,9.6780787,17.3014348,68.6461773,39.8540363,36.498091,16.4605822,11.8046737,54.89045,2.8566816,37.1176403,10.8055727
